"n","n_t","ndep","KLD"
15,50,2,5
15,50,2,10
15,50,2,15
15,50,4,5
15,50,4,10
15,50,4,15
15,50,8,5
15,50,8,10
15,50,8,15
15,100,2,5
15,100,2,10
15,100,2,15
15,100,4,5
15,100,4,10
15,100,4,15
15,100,8,5
15,100,8,10
15,100,8,15
15,200,2,5
15,200,2,10
15,200,2,15
15,200,4,5
15,200,4,10
15,200,4,15
15,200,8,5
15,200,8,10
15,200,8,15
30,50,2,5
30,50,2,10
30,50,2,15
15,400,2,5
15,400,2,10
15,400,2,15
15,400,4,5
15,400,4,10
15,400,4,15
15,400,8,5
15,400,8,10
15,400,8,15
15,800,2,5
15,800,2,10
15,800,2,15
15,800,4,5
15,800,4,10
15,800,4,15
15,800,8,5
15,800,8,10
15,800,8,15
30,50,4,5
30,50,4,10
30,50,4,15
30,50,8,5
30,50,8,10
30,50,8,15
30,100,2,5
30,100,2,10
30,100,2,15
30,100,4,5
30,100,4,10
30,100,4,15
30,100,8,5
30,100,8,10
30,100,8,15
30,200,2,5
30,200,2,10
30,200,2,15
30,200,4,5
30,200,4,10
30,200,4,15
30,200,8,5
30,200,8,10
30,200,8,15
30,400,2,5
30,400,2,10
30,400,2,15
30,400,4,5
30,400,4,10
30,400,4,15
30,400,8,5
30,400,8,10
30,400,8,15
60,50,2,5
60,50,2,10
60,50,2,15
60,50,4,5
60,50,4,10
60,50,4,15
60,50,8,5
60,50,8,10
60,50,8,15
30,800,2,5
30,800,2,10
30,800,2,15
30,800,4,5
30,800,4,10
30,800,4,15
30,800,8,5
30,800,8,10
30,800,8,15
60,100,2,5
60,100,2,10
60,100,2,15
60,100,4,5
60,100,4,10
60,100,4,15
60,100,8,5
60,100,8,10
60,100,8,15
60,200,2,5
60,200,2,10
60,200,2,15
60,200,4,5
60,200,4,10
60,200,4,15
60,200,8,5
60,200,8,10
60,200,8,15
120,50,2,5
120,50,2,10
120,50,2,15
60,400,2,5
60,400,2,10
60,400,2,15
60,400,4,5
60,400,4,10
60,400,4,15
60,400,8,5
60,400,8,10
60,400,8,15
120,50,4,5
120,50,4,10
120,50,4,15
120,50,8,5
120,50,8,10
120,50,8,15
120,100,2,5
120,100,2,10
120,100,2,15
120,100,4,5
120,100,4,10
120,100,4,15
120,100,8,5
120,100,8,10
120,100,8,15
60,800,2,5
60,800,2,10
60,800,2,15
60,800,4,5
60,800,4,10
60,800,4,15
60,800,8,5
60,800,8,10
60,800,8,15
120,200,2,5
120,200,2,10
120,200,2,15
120,200,4,5
120,200,4,10
120,200,4,15
120,200,8,5
120,200,8,10
120,200,8,15
240,50,2,5
240,50,2,10
240,50,2,15
240,50,4,5
240,50,4,10
240,50,4,15
120,400,2,5
120,400,2,10
120,400,2,15
120,400,4,5
120,400,4,10
120,400,4,15
120,400,8,5
120,400,8,10
120,400,8,15
240,50,8,5
240,50,8,10
240,50,8,15
240,100,2,5
240,100,2,10
240,100,2,15
240,100,4,5
240,100,4,10
240,100,4,15
240,100,8,5
240,100,8,10
240,100,8,15
240,200,2,5
240,200,2,10
240,200,2,15
240,200,4,5
240,200,4,10
240,200,4,15
240,200,8,5
240,200,8,10
240,200,8,15
